Ethnic group,Age,Occupation type,Count
Black,25-29,Elementary Occupations,12120
Black,30-34,Managers Directors and Senior Officials,9030
Black,30-34,Professional Occupations,32445
Black,30-34,Associate Professional and Technical Occupations,17885
Black,30-34,Administrative and Secretarial Occupations,9470
Black,30-34,Skilled Trades Occupations,4445
Black,30-34,Caring Leisure and Other Service Occupations,17925
Black,30-34,Sales and Customer Service Occupations,7995
Black,30-34,Process Plant and Machine Operatives,6200
Black,30-34,Elementary Occupations,12960
Black,35-39,Managers Directors and Senior Officials,10520
Black,35-39,Professional Occupations,32345
Black,35-39,Associate Professional and Technical Occupations,15420
Black,35-39,Administrative and Secretarial Occupations,8680
Black,35-39,Skilled Trades Occupations,5135
Black,35-39,Caring Leisure and Other Service Occupations,21860
Black,35-39,Sales and Customer Service Occupations,6960
Black,35-39,Process Plant and Machine Operatives,8010
Black,35-39,Elementary Occupations,14840
Black,40-44,Managers Directors and Senior Officials,11320
Black,40-44,Professional Occupations,33310
Black,40-44,Associate Professional and Technical Occupations,13490
Black,40-44,Administrative and Secretarial Occupations,8250
Black,40-44,Skilled Trades Occupations,5525
Black,40-44,Caring Leisure and Other Service Occupations,26055
Black,40-44,Sales and Customer Service Occupations,6075
Black,40-44,Process Plant and Machine Operatives,9560
Black,40-44,Elementary Occupations,18225
Black,45-49,Managers Directors and Senior Officials,10230
Black,45-49,Professional Occupations,30510
Black,45-49,Associate Professional and Technical Occupations,11400
Black,45-49,Administrative and Secretarial Occupations,7525
Black,45-49,Skilled Trades Occupations,5970
Black,45-49,Caring Leisure and Other Service Occupations,25920
Black,45-49,Sales and Customer Service Occupations,5510
Black,45-49,Process Plant and Machine Operatives,10220
Black,45-49,Elementary Occupations,19940
Black,50-54,Managers Directors and Senior Officials,10960
Black,50-54,Professional Occupations,30270
Black,50-54,Associate Professional and Technical Occupations,13070
Black,50-54,Administrative and Secretarial Occupations,10060
Black,50-54,Skilled Trades Occupations,7110
Black,50-54,Caring Leisure and Other Service Occupations,24650
Black,50-54,Sales and Customer Service Occupations,5690
Black,50-54,Process Plant and Machine Operatives,10995
Black,50-54,Elementary Occupations,20395
Black,55-59,Managers Directors and Senior Officials,9095
Black,55-59,Professional Occupations,24310
Black,55-59,Associate Professional and Technical Occupations,11575
Black,55-59,Administrative and Secretarial Occupations,10580
Black,55-59,Skilled Trades Occupations,7225
Black,55-59,Caring Leisure and Other Service Occupations,19815
Black,55-59,Sales and Customer Service Occupations,4980
Black,55-59,Process Plant and Machine Operatives,10040
Black,55-59,Elementary Occupations,16175
Black,60-64,Managers Directors and Senior Officials,4325
Black,60-64,Professional Occupations,12650
Black,60-64,Associate Professional and Technical Occupations,5490
Black,60-64,Administrative and Secretarial Occupations,5350
Black,60-64,Skilled Trades Occupations,4685
Black,60-64,Caring Leisure and Other Service Occupations,12360
Black,60-64,Sales and Customer Service Occupations,3925
Black,60-64,Process Plant and Machine Operatives,5955
Black,60-64,Elementary Occupations,10120
Mixed,16-19,Managers Directors and Senior Officials,360
Mixed,16-19,Professional Occupations,995
Mixed,16-19,Associate Professional and Technical Occupations,2330
Mixed,16-19,Administrative and Secretarial Occupations,1495
Mixed,16-19,Skilled Trades Occupations,1820
Mixed,16-19,Caring Leisure and Other Service Occupations,2935
Mixed,16-19,Sales and Customer Service Occupations,6560
Mixed,16-19,Process Plant and Machine Operatives,730
Mixed,16-19,Elementary Occupations,7240
Mixed,20-24,Managers Directors and Senior Officials,3030
Mixed,20-24,Professional Occupations,11880
Mixed,20-24,Associate Professional and Technical Occupations,14300
Mixed,20-24,Administrative and Secretarial Occupations,7415
Mixed,20-24,Skilled Trades Occupations,5715
Mixed,20-24,Caring Leisure and Other Service Occupations,9135
Mixed,20-24,Sales and Customer Service Occupations,13425
Mixed,20-24,Process Plant and Machine Operatives,2920
Mixed,20-24,Elementary Occupations,13105
Mixed,25-29,Managers Directors and Senior Officials,7445
Mixed,25-29,Professional Occupations,25655
Mixed,25-29,Associate Professional and Technical Occupations,21540
Mixed,25-29,Administrative and Secretarial Occupations,8940
Mixed,25-29,Skilled Trades Occupations,6265
Mixed,25-29,Caring Leisure and Other Service Occupations,8335
Mixed,25-29,Sales and Customer Service Occupations,8455
Mixed,25-29,Process Plant and Machine Operatives,3715
Mixed,25-29,Elementary Occupations,9065
Mixed,30-34,Managers Directors and Senior Officials,11255
Mixed,30-34,Professional Occupations,25430
Mixed,30-34,Associate Professional and Technical Occupations,18030
Mixed,30-34,Administrative and Secretarial Occupations,7660
Mixed,30-34,Skilled Trades Occupations,6340
Mixed,30-34,Caring Leisure and Other Service Occupations,7465
Mixed,30-34,Sales and Customer Service Occupations,5950
Mixed,30-34,Process Plant and Machine Operatives,4140
Mixed,30-34,Elementary Occupations,7385
Mixed,35-39,Managers Directors and Senior Officials,10930
Mixed,35-39,Professional Occupations,20120
Mixed,35-39,Associate Professional and Technical Occupations,13165
Mixed,35-39,Administrative and Secretarial Occupations,6045
Mixed,35-39,Skilled Trades Occupations,5135
Mixed,35-39,Caring Leisure and Other Service Occupations,6295
Mixed,35-39,Sales and Customer Service Occupations,3940
Mixed,35-39,Process Plant and Machine Operatives,3660
Mixed,35-39,Elementary Occupations,6205
Mixed,40-44,Managers Directors and Senior Officials,9195
Mixed,40-44,Professional Occupations,15180
Mixed,40-44,Associate Professional and Technical Occupations,9440
Mixed,40-44,Administrative and Secretarial Occupations,4840
Mixed,40-44,Skilled Trades Occupations,4050
Mixed,40-44,Caring Leisure and Other Service Occupations,5090
Mixed,40-44,Sales and Customer Service Occupations,2785
Mixed,40-44,Process Plant and Machine Operatives,3000
Mixed,40-44,Elementary Occupations,5345
Mixed,45-49,Managers Directors and Senior Officials,7205
Mixed,45-49,Professional Occupations,11265
Mixed,45-49,Associate Professional and Technical Occupations,7110
Mixed,45-49,Administrative and Secretarial Occupations,3745
Mixed,45-49,Skilled Trades Occupations,3315
Mixed,45-49,Caring Leisure and Other Service Occupations,4405
Mixed,45-49,Sales and Customer Service Occupations,2190
Mixed,45-49,Process Plant and Machine Operatives,2720
Mixed,45-49,Elementary Occupations,4570
Mixed,50-54,Managers Directors and Senior Officials,6175
Mixed,50-54,Professional Occupations,9240
Mixed,50-54,Associate Professional and Technical Occupations,5905
Mixed,50-54,Administrative and Secretarial Occupations,3875
Mixed,50-54,Skilled Trades Occupations,3190
Mixed,50-54,Caring Leisure and Other Service Occupations,4600
Mixed,50-54,Sales and Customer Service Occupations,2110
Mixed,50-54,Process Plant and Machine Operatives,2860
Mixed,50-54,Elementary Occupations,4470
Mixed,55-59,Managers Directors and Senior Officials,4315
Mixed,55-59,Professional Occupations,6795
Mixed,55-59,Associate Professional and Technical Occupations,4225
Mixed,55-59,Administrative and Secretarial Occupations,3270
Mixed,55-59,Skilled Trades Occupations,2660
Mixed,55-59,Caring Leisure and Other Service Occupations,3555
Mixed,55-59,Sales and Customer Service Occupations,1760
Mixed,55-59,Process Plant and Machine Operatives,2350
Mixed,55-59,Elementary Occupations,3665
Mixed,60-64,Managers Directors and Senior Officials,2025
Mixed,60-64,Professional Occupations,3115
Mixed,60-64,Associate Professional and Technical Occupations,2020
Mixed,60-64,Administrative and Secretarial Occupations,1750
Mixed,60-64,Skilled Trades Occupations,1465
Mixed,60-64,Caring Leisure and Other Service Occupations,2075
Mixed,60-64,Sales and Customer Service Occupations,995
Mixed,60-64,Process Plant and Machine Operatives,1295
Mixed,60-64,Elementary Occupations,2030
White,16-19,Managers Directors and Senior Officials,7485
White,16-19,Professional Occupations,17810
White,16-19,Associate Professional and Technical Occupations,43730
White,16-19,Administrative and Secretarial Occupations,32030
White,16-19,Skilled Trades Occupations,71930
White,16-19,Caring Leisure and Other Service Occupations,71755
White,16-19,Sales and Customer Service Occupations,137485
White,16-19,Process Plant and Machine Operatives,18815
White,16-19,Elementary Occupations,171470
White,20-24,Managers Directors and Senior Officials,97505
White,20-24,Professional Occupations,239175
White,20-24,Associate Professional and Technical Occupations,258540
White,20-24,Administrative and Secretarial Occupations,173000
White,20-24,Skilled Trades Occupations,204310
White,20-24,Caring Leisure and Other Service Occupations,215480
White,20-24,Sales and Customer Service Occupations,254105
White,20-24,Process Plant and Machine Operatives,81235
White,20-24,Elementary Occupations,290660
White,25-29,Managers Directors and Senior Officials,228960
White,25-29,Professional Occupations,611680
White,25-29,Associate Professional and Technical Occupations,460000
White,25-29,Administrative and Secretarial Occupations,228460
White,25-29,Skilled Trades Occupations,310835
White,25-29,Caring Leisure and Other Service Occupations,239320
White,25-29,Sales and Customer Service Occupations,267090
White,25-29,Process Plant and Machine Operatives,130170
White,25-29,Elementary Occupations,118380
White,30-34,Managers Directors and Senior Officials,586770
White,30-34,Professional Occupations,752495
White,30-34,Associate Professional and Technical Occupations,925675
White,30-34,Administrative and Secretarial Occupations,485095
White,30-34,Skilled Trades Occupations,657580
White,30-34,Caring Leisure and Other Service Occupations,475810
White,30-34,Sales and Customer Service Occupations,389035
White,30-34,Process Plant and Machine Operatives,163660
White,30-34,Elementary Occupations,270895
White,35-39,Managers Directors and Senior Officials,419370
White,35-39,Professional Occupations,650475
White,35-39,Associate Professional and Technical Occupations,849160
White,35-39,Administrative and Secretarial Occupations,512365
White,35-39,Skilled Trades Occupations,695435
White,35-39,Caring Leisure and Other Service Occupations,476000
White,35-39,Sales and Customer Service Occupations,327525
White,35-39,Process Plant and Machine Operatives,169235
White,35-39,Elementary Occupations,147045
White,40-44,Managers Directors and Senior Officials,447225
White,40-44,Professional Occupations,585570
White,40-44,Associate Professional and Technical Occupations,785105
White,40-44,Administrative and Secretarial Occupations,419450
White,40-44,Skilled Trades Occupations,624995
White,40-44,Caring Leisure and Other Service Occupations,551425
White,40-44,Sales and Customer Service Occupations,257205
White,40-44,Process Plant and Machine Operatives,152695
White,40-44,Elementary Occupations,202025
White,45-49,Managers Directors and Senior Officials,440195
White,45-49,Professional Occupations,594000
White,45-49,Associate Professional and Technical Occupations,593265
White,45-49,Administrative and Secretarial Occupations,483445
White,45-49,Skilled Trades Occupations,530505
White,45-49,Caring Leisure and Other Service Occupations,414390
White,45-49,Sales and Customer Service Occupations,231085
White,45-49,Process Plant and Machine Operatives,198090
White,45-49,Elementary Occupations,221710
White,50-54,Managers Directors and Senior Officials,497480
White,50-54,Professional Occupations,577160
White,50-54,Associate Professional and Technical Occupations,498000
White,50-54,Administrative and Secretarial Occupations,349465
White,50-54,Skilled Trades Occupations,546765
White,50-54,Caring Leisure and Other Service Occupations,415640
White,50-54,Sales and Customer Service Occupations,259180
White,50-54,Process Plant and Machine Operatives,230590
White,50-54,Elementary Occupations,272210
White,55-59,Managers Directors and Senior Officials,494785
White,55-59,Professional Occupations,520725
White,55-59,Associate Professional and Technical Occupations,381025
White,55-59,Administrative and Secretarial Occupations,297565
White,55-59,Skilled Trades Occupations,314765
White,55-59,Caring Leisure and Other Service Occupations,305060
White,55-59,Sales and Customer Service Occupations,174755
White,55-59,Process Plant and Machine Operatives,233250
White,55-59,Elementary Occupations,249525
White,60-64,Managers Directors and Senior Officials,241630
White,60-64,Professional Occupations,254340
White,60-64,Associate Professional and Technical Occupations,171050
White,60-64,Administrative and Secretarial Occupations,196285
White,60-64,Skilled Trades Occupations,215880
White,60-64,Caring Leisure and Other Service Occupations,169305
White,60-64,Sales and Customer Service Occupations,128880
White,60-64,Process Plant and Machine Operatives,170825
White,60-64,Elementary Occupations,184345
Other,16-19,Managers Directors and Senior Officials,155
Other,16-19,Professional Occupations,440
Other,16-19,Associate Professional and Technical Occupations,535
