
Ethnic group,Sex,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,,,,,
White: Other White,Male," 144,060 "," 207,210 "," 103,465 "," 31,850 "," 203,350 "," 33,495 "," 36,015 "," 182,370 "," 175,750 ",,,,,
Other ethnic group: Arab,Female," 2,910 "," 11,890 "," 5,045 "," 3,410 ", 615 ," 4,415 "," 3,275 ", 400 ," 2,845 ",,,,,
Other ethnic group: Arab,Male," 8,750 "," 17,850 "," 5,875 "," 2,350 "," 6,380 "," 2,665 "," 4,430 "," 7,635 "," 7,695 ",,,,,
Other ethnic group: Any other ethnic group,Female," 15,435 "," 40,705 "," 21,685 "," 19,155 "," 4,570 "," 26,440 "," 16,765 "," 4,615 "," 32,110 ",,,,,
Other ethnic group: Any other ethnic group,Male," 30,580 "," 39,165 "," 20,735 "," 7,980 "," 30,775 "," 11,055 "," 15,855 "," 29,940 "," 34,560 ",,,,,
 England and Wales overall , Female ," 1,239,150 "," 2,876,755 "," 1,796,755 "," 1,867,595 "," 283,115 "," 2,023,530 "," 1,237,245 "," 241,745 "," 1,281,065 ",,,,,
 England and Wales overall , Male ," 2,108,825 "," 2,555,805 "," 1,757,370 "," 576,835 "," 2,412,595 "," 477,330 "," 761,485 "," 1,593,685 "," 1,501,620 ",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
